State_Name,Season,Crop,Area,Production
1,1,1,102.0,321.0
1,2,2,176.0,641.0
1,2,3,720.0,165.0
1,2,4,18168.0,65100000.0
1,2,5,1.0,2.0
1,2,6,5.0,15.0
1,1,1,83.0,300.0
1,2,3,719.0,192.0
1,2,4,18190.0,64430000.0
1,2,5,1.0,1.0
1,2,6,11.0,33.0
1,1,1,189.2,510.84
1,2,2,213.0,1278.0
1,2,3,719.0,208.0
1,2,4,18240.0,67490000.0
1,2,7,413.0,28.8
1,2,5,5.0,40.0
1,1,1,52.0,90.17
1,2,2,266.0,1763.0
1,2,3,717.0,208.5
1,2,4,18284.74,68580000.0
1,2,7,60.0,102.0
1,1,1,52.94,72.57
1,2,2,66.42,404.12
1,2,3,683.5,197.9
1,2,4,18394.7,52380000.0
1,2,7,60.0,145.2
1,1,1,2.09,12.06
1,2,2,22.0,582.0
1,2,3,450.0,55.8
1,2,4,13876.57,52030000.0
1,2,8,10.0,70.0
1,2,2,198.0,976.0
1,2,3,450.0,85.13
1,2,4,14358.0,59370000.0
1,2,7,3.0,9.0
1,2,5,0.2,0.5
1,2,6,18.0,86.0
1,2,8,2.5,1.03
1,3,1,3.5,10.0
1,3,5,13.4,41.75
1,4,3,1000.5,260.5
1,4,7,12.0,25.0
1,4,9,3.84,18.22
1,4,10,1.5,1.1
1,4,6,22.0,208.0
1,4,8,2.0,0.5
1,4,11,1.5,1.16
1,2,2,593.0,3425.0
1,2,4,14560.0,71300000.0
1,1,1,10779.0,31863.0
1,2,2,1531.0,12073.0
1,2,3,80.0,54.0
1,2,4,6992.0,23900000.0
1,2,5,141.0,3736.0
1,2,6,78.0,843.0
1,1,1,9718.0,27033.0
1,2,3,81.0,33.0
1,2,4,7015.0,25250000.0
1,2,5,81.0,2379.0
1,2,6,100.0,5.0
1,1,1,6854.3,18995.62
1,2,2,957.57,8582.0
1,2,3,40.5,44.0
1,2,4,3575.0,15400000.0
1,2,7,235.72,824.3
1,2,5,71.3,1500.0
1,2,6,30.0,240.0
1,2,8,68.0,408.0
1,3,1,6791.0,20118.0
1,3,5,73.33,889.2
1,4,12,294.5,90.8
1,4,3,84.5,39.0
1,4,7,254.0,402.0
1,4,13,4.75,6.8
1,4,9,86.7,96.4
1,4,10,1168.6,556.55
1,4,14,2.9,1.9
1,4,6,109.0,480.0
1,4,8,68.0,376.5
1,4,11,1059.5,458.79
1,2,2,657.0,7968.0
1,2,4,3668.0,12700000.0
1,1,1,10695.8,31600.82
1,2,2,1524.0,10882.0
1,2,3,81.0,24.0
1,2,4,7060.0,26830000.0
1,2,7,239.0,20.9
1,2,5,455.0,13760.0
1,1,1,10509.37,30760.7
1,2,2,1530.0,11558.0
1,2,3,116.5,26.14
1,2,4,7110.0,26660000.0
1,2,7,340.0,578.0
1,2,5,268.0,2879.52
1,1,1,10681.98,29119.66
1,2,2,1912.1,17374.4
1,2,3,116.5,25.1
1,2,4,7156.7,34750000.0
1,2,7,340.0,822.8
1,2,5,145.26,1560.0
1,1,1,8683.38,25870.98
1,2,2,1656.8,10251.13
1,2,3,118.5,30.22
1,2,4,7050.45,26430000.0
1,2,7,370.7,877.6
1,2,5,128.02,2448.2
1,2,6,131.9,700.35
1,2,8,81.7,572.0
1,1,1,921.87,2539.64
1,2,2,483.0,4150.0
1,2,3,79.5,26.0
1,2,4,3483.09,14190000.0
1,2,7,124.6,34.7
1,2,5,53.5,999.5
1,2,6,30.4,220.0
1,2,8,10.0,60.0
1,3,1,1595.5,3788.0
